ticker,reason,membership_from,membership_to,tiingo_name,tiingo_start,tiingo_end,note
RBK,NO_PRICE_DATA,,2006-02-01,REEBOK INTERNATIONAL LTD,,,ticker is known to Tiingo but carries no price history
RDS-A,NO_COVERAGE,,2002-07-22,Shell Plc ADR (Representing - Class A),2005-07-21,2022-01-31,Tiingo coverage starts 2005-07-21 but index membership ended 2002-07-22
RE,NO_PRICE_DATA,2017-06-19,2023-07-11,,,,ticker is known to Tiingo but carries no price history
RLM,NO_COVERAGE,,2000-05-04,Realm Therapeutics ADR,2018-09-05,2019-07-31,Tiingo coverage starts 2018-09-05 but index membership ended 2000-05-04
RML,NO_PRICE_DATA,,2000-12-12,RUSSELL CORP,,,ticker is known to Tiingo but carries no price history
RNB,NO_PRICE_DATA,,2000-01-03,REPUBLIC NEW YORK CORP,,,ticker is known to Tiingo but carries no price history
RX,NO_PRICE_DATA,,2010-02-26,IMS HEALTH INC,,,ticker is known to Tiingo but carries no price history
SAF,NO_COVERAGE,,2008-09-23,Saratoga Investment Corp,2018-08-29,2021-08-30,Tiingo coverage starts 2018-08-29 but index membership ended 2008-09-23
SBL,NO_PRICE_DATA,2000-12-11,2007-01-10,SYMBOL TECHNOLOGIES INC,,,ticker is known to Tiingo but carries no price history
SDS,NO_COVERAGE,2002-07-22,2005-08-12,ProShares UltraShort S&P500 -2x Shares,2006-07-13,2026-08-04,Tiingo coverage starts 2006-07-13 but index membership ended 2005-08-12
SEBL,NO_PRICE_DATA,2000-05-05,2006-02-01,SIEBEL SYSTEMS INC,,,ticker is known to Tiingo but carries no price history
SEG,REUSED_TICKER,,2000-11-22,Seaport Entertainment Group Inc,2024-07-30,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
SFA,NO_PRICE_DATA,,2006-02-27,SCIENTIFIC ATLANTA INC,,,ticker is known to Tiingo but carries no price history
SGID,NO_PRICE_DATA,,2000-06-21,SILICON GRAPHICS INC,,,ticker is known to Tiingo but carries no price history
SGP,NO_COVERAGE,,2009-11-04,SpyGlass Pharma Inc,2026-02-06,2026-08-04,Tiingo coverage starts 2026-02-06 but index membership ended 2009-11-04
SIVB,NOT_FOUND,2018-03-19,2023-03-15,,,,Tiingo does not know this ticker at all
SLR,NO_PRICE_DATA,,2007-10-02,SOLECTRON CORP,,,ticker is known to Tiingo but carries no price history
SMI,NO_COVERAGE,,2000-12-12,VanEck HIP Sustainable Muni ETF,2021-09-10,2026-08-04,Tiingo coverage starts 2021-09-10 but index membership ended 2000-12-12
SMS,NO_PRICE_DATA,,2000-06-08,SHARED MEDICAL SYSTEMS CORP,,,ticker is known to Tiingo but carries no price history
SOLS,REUSED_TICKER,2025-10-30,2025-12-22,Solstice Advanced Materials Inc,2025-10-29,2026-08-05,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
SOTR,NO_PRICE_DATA,,2004-11-01,SOUTHTRUST CORP,,,ticker is known to Tiingo but carries no price history
SPLS,REUSED_TICKER,,2017-09-13,PIMCO US Stocks PLUS Active Bond Exchange Traded Fund,2026-01-16,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
STI,REUSED_TICKER,,2019-12-09,Solidion Technology Inc,2024-02-02,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
SUB,NO_COVERAGE,,2001-03-01,ISHARES SHORT-TERM NATIONAL MUNI BOND ETF ,2008-11-07,2026-08-04,Tiingo coverage starts 2008-11-07 but index membership ended 2001-03-01
SXCL,NO_COVERAGE,,2001-05-14,Steel Excel Inc,2006-12-28,2017-02-23,Tiingo coverage starts 2006-12-28 but index membership ended 2001-05-14
SYMC,NOT_FOUND,2003-03-31,2019-11-05,,,,Tiingo does not know this ticker at all
TE,NO_COVERAGE,2001-10-10,2016-07-01,T1 Energy Inc,2021-07-08,2026-08-04,Tiingo coverage starts 2021-07-08 but index membership ended 2016-07-01
TEK,NO_COVERAGE,,2007-11-16,iShares Technology Opportunities Active ETF,2024-10-22,2026-08-04,Tiingo coverage starts 2024-10-22 but index membership ended 2007-11-16
TIN,NO_COVERAGE,,2007-12-31,TempleInland Inc,2017-01-25,2017-02-03,Tiingo coverage starts 2017-01-25 but index membership ended 2007-12-31
TLAB,NO_PRICE_DATA,,2011-12-21,Tellabs Inc,,,ticker is known to Tiingo but carries no price history
TMC,NO_COVERAGE,,2000-06-13,TMC the metals company Inc,2021-09-10,2026-08-04,Tiingo coverage starts 2021-09-10 but index membership ended 2000-06-13
TMC-A,NO_PRICE_DATA,,2000-06-13,Times Mirror Co,,,ticker is known to Tiingo but carries no price history
TMK,NO_PRICE_DATA,,2019-08-08,TAMASKA OIL AND GAS LTD,,,ticker is known to Tiingo but carries no price history
TNB,NO_PRICE_DATA,,2004-08-03,THOMAS & BETTS CORP,,,ticker is known to Tiingo but carries no price history
TOS,NO_COVERAGE,,2001-09-17,Twin Oak Strategic Solutions ETF,2026-01-28,2026-08-04,Tiingo coverage starts 2026-01-28 but index membership ended 2001-09-17
TOY,NO_PRICE_DATA,,2005-07-22,TOYS R US INC,,,ticker is known to Tiingo but carries no price history
TRB,NO_PRICE_DATA,,2007-12-21,TRIBUNE CO,,,ticker is known to Tiingo but carries no price history
TRW,NO_COVERAGE,,2002-12-12,TRW Automotive Holdings Corp,2004-02-03,2015-05-26,Tiingo coverage starts 2004-02-03 but index membership ended 2002-12-12
TSG,NO_COVERAGE,2000-03-16,2007-04-02,SABRE HOLDINGS CORP,2010-10-15,2020-05-05,Tiingo coverage starts 2010-10-15 but index membership ended 2007-04-02
TUP,NOT_FOUND,,2004-03-25,,,,Tiingo does not know this ticker at all
TX,NO_COVERAGE,,2001-10-10,Ternium S.A.,2006-02-01,2026-08-04,Tiingo coverage starts 2006-02-01 but index membership ended 2001-10-10
TXU,NO_PRICE_DATA,,2007-10-10,TXU CORP,,,ticker is known to Tiingo but carries no price history
UAWGQ,NO_PRICE_DATA,,2002-05-15,Us Airways Group Inc,,,ticker is known to Tiingo but carries no price history
UCL,NO_COVERAGE,,2005-08-11,Ucloudlink Group Inc,2020-06-10,2026-08-04,Tiingo coverage starts 2020-06-10 but index membership ended 2005-08-11
UCM,NO_PRICE_DATA,,2000-10-23,UNICOM CORP,,,ticker is known to Tiingo but carries no price history
UK,REUSED_TICKER,,2001-02-07,Ucommune International Ltd - Class A,2020-11-18,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
UMG,NO_PRICE_DATA,,2000-06-15,UNITED MALT GROUP LTD,,,ticker is known to Tiingo but carries no price history
UN,REUSED_TICKER,,2002-07-22,Corgi UNH 2x Daily ETF,2026-07-07,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
UPC,NO_COVERAGE,,2004-07-01,Universe Pharmaceuticals Inc,2021-03-23,2026-08-04,Tiingo coverage starts 2021-03-23 but index membership ended 2004-07-01
UPR,NO_PRICE_DATA,,2000-07-17,UNION PACIFIC RESOURCES GROUP INC,,,ticker is known to Tiingo but carries no price history
UST,NO_COVERAGE,,2009-01-06,PROSHARES ULTRA 7-10 YEAR TREASURY ,2010-02-02,2026-08-04,Tiingo coverage starts 2010-02-02 but index membership ended 2009-01-06
USW,NO_PRICE_DATA,,2000-07-03,MEDIAONE GROUP INC,,,ticker is known to Tiingo but carries no price history
UTX,NOT_FOUND,,2020-04-03,,,,Tiingo does not know this ticker at all
UVN,NO_PRICE_DATA,2001-02-07,2007-03-29,UNIVISION COMMUNICATIONS INC,,,ticker is known to Tiingo but carries no price history
VIAC,NO_COVERAGE,2019-12-05,2022-02-17,CBS Corp,2005-12-05,2019-12-04,"HUMAN OVERRIDE: Tiingo's VIAC ends 2019-12-04 -- the day BEFORE ViacomCBS's membership began. It is pre-merger CBS Corp, not ViacomCBS. That era is under PARA (verified: Paramount Global Class B, 2006-01-03..2025-08-07). (auto verdict was: only -1 days of overlap -- needs a human decision)"
VIAV,NO_COVERAGE,2000-07-27,2013-12-23,Viavi Solutions Inc,2015-08-04,2026-08-04,Tiingo coverage starts 2015-08-04 but index membership ended 2013-12-23
VO,NO_COVERAGE,,2000-12-11,VANGUARD MID-CAP INDEX FUND ETF SHARES,2004-01-30,2026-08-04,Tiingo coverage starts 2004-01-30 but index membership ended 2000-12-11
VRTS,NO_COVERAGE,2000-04-03,2005-07-05,Virtus Investment Partners Inc,2009-01-02,2026-08-04,Tiingo coverage starts 2009-01-02 but index membership ended 2005-07-05
VSTNQ,NO_PRICE_DATA,2000-06-29,2006-01-03,VISTEON CORP,,,ticker is known to Tiingo but carries no price history
WAMUQ,NO_PRICE_DATA,,2008-09-30,WMI HOLDINGS CORP,,,ticker is known to Tiingo but carries no price history
WB,NO_COVERAGE,,2009-01-02,Weibo Corp,2014-04-17,2026-08-04,Tiingo coverage starts 2014-04-17 but index membership ended 2009-01-02
WCOEQ,NO_PRICE_DATA,,2002-05-15,Worldcom Inc,,,ticker is known to Tiingo but carries no price history
WFT,NOT_FOUND,2005-07-22,2009-02-26,,,,Tiingo does not know this ticker at all
WIN,NO_COVERAGE,2006-07-18,2015-04-07,Garden Stage Ltd,2023-12-01,2026-08-04,Tiingo coverage starts 2023-12-01 but index membership ended 2015-04-07
WLA,NO_PRICE_DATA,,2000-06-20,WARNER LAMBERT CO,,,ticker is known to Tiingo but carries no price history
WLL,REUSED_TICKER,,2002-02-11,Whiting Petroleum Corp (New),2020-09-02,2022-07-01,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
WLP,NO_COVERAGE,,2004-12-01,"WellPoint, Inc",2014-09-22,2014-12-02,Tiingo coverage starts 2014-09-22 but index membership ended 2004-12-01
WLTW,NO_PRICE_DATA,2016-01-05,2022-01-20,,,,ticker is known to Tiingo but carries no price history
WNDXQ,NO_PRICE_DATA,,2004-12-03,WINN DIXIE STORES INC,,,ticker is known to Tiingo but carries no price history
WRK,REUSED_TICKER,2015-07-02,2024-07-09,WRKR LTD,2024-07-05,2024-07-05,"HUMAN OVERRIDE: Tiingo returns WRKR LTD, an unrelated Australian company, with a single day of data. WestRock merged into Smurfit Westrock in July 2024. (auto verdict was: only 0 days of overlap -- needs a human decision)"
WWY,NO_PRICE_DATA,,2008-10-07,WRIGLEY WM JR CO,,,ticker is known to Tiingo but carries no price history
WYE,NO_PRICE_DATA,,2009-10-16,WYETH,,,ticker is known to Tiingo but carries no price history
YNR,NO_PRICE_DATA,2000-01-06,2000-10-03,YOUNG & RUBICAM INC.,,,ticker is known to Tiingo but carries no price history
